Fecha,BrilloSolar,Precipitacion,temperaturaMedia,temperaturaMinima,temperaturaMaxima,AmplitudTermica
2006-04-11,,23,18.2,14,22.4,8.4
2006-04-12,,12,18.4,14.8,22,7.2
2006-04-13,,11,16.9,14.6,19.2,4.6
2006-04-14,,1,17.7,15.2,20.2,5
2006-04-15,,0,17.6,14,21.2,7.2
2006-04-16,,7.3,18.2,15,21.4,6.4
2006-04-17,,0,16.8,14,19.6,5.6
2006-04-18,,1,19.4,17.4,21.4,4
2006-04-19,,0,17.8,15.4,20.2,4.8
2006-04-20,,8,17.8,15.2,20.4,5.2
2006-04-21,,0,19.75,14.5,25,10.5
2006-04-22,,0,18.6,16,21.2,5.2
2006-04-23,,3.5,20.6,17,24.2,7.2
2006-04-24,,3.5,18.6,17,20.2,3.2
2006-04-25,,11,19.35,16.3,22.4,6.1
2006-04-26,,2,18.1,16,20.2,4.2
2006-04-27,,3,17.4,15.4,19.4,4
2006-04-28,,33.2,17.7,14.6,20.8,6.2
2006-04-29,,42,18.2,16.2,20.2,4
2006-04-30,,15,17.5,15.4,19.6,4.2
2006-05-01,,7.2,18.4,17.4,19.4,2
2006-05-02,,3.5,17.3,14.6,20,5.4
2006-05-03,,23,21.3,18,24.6,6.6
2006-05-04,,38.5,19.5,16.6,22.4,5.8
2006-05-05,,2,17.4,15,19.8,4.8
2006-05-06,,2.5,18.6,16,21.2,5.2
2006-05-07,,21.2,,,,
2006-05-08,,6.4,,,,
2006-05-09,,0,18.3,15.4,21.2,5.8
2006-05-10,,1.7,,,,
2006-05-11,,0,19.7,15,24.4,9.4
2006-05-12,,15.6,19.6,15.8,23.4,7.6
2006-05-13,,0,19.25,14.5,24,9.5
2006-05-14,,0,19.4,14.6,24.2,9.6
2006-05-15,,0,21.6,18.2,25,6.8
2006-05-16,,0,19,16,22,6
2006-05-17,,0,21.2,16,26.4,10.4
2006-05-18,,0,19.7,15.2,24.2,9
2006-05-19,,0,18.1,16,20.2,4.2
2006-05-20,,2.5,18.8,13,24.6,11.6
2006-05-21,,0,19.2,16,22.4,6.4
2006-05-22,,0,19.7,18.2,21.2,3
2006-05-23,,0,20.3,16,24.6,8.6
2006-05-24,,0,19.5,15.8,23.2,7.4
2006-05-25,,0.5,18.6,16.2,21,4.8
2006-05-26,,15.6,19.1,16.8,21.4,4.6
2006-05-27,,0,18,16,20,4
2006-05-28,,1,18.7,17.2,20.2,3
2006-05-29,,0.5,18.8,16.4,21.2,4.8
2006-05-30,,2.5,,,,
2006-05-31,,0,17.8,15.4,20.2,4.8
2006-06-01,,2.5,18.1,16,20.2,4.2
2006-06-02,,0,18.2,14.4,22,7.6
2006-06-03,,0,17.7,16,19.4,3.4
2006-06-04,,14.7,18,15.8,20.2,4.4
2006-06-05,,3.4,17,14,20,6
2006-06-06,,1.5,17,15,19,4
2006-06-07,,5.5,16.7,15.2,18.2,3
2006-06-08,,32,17.3,14.8,19.8,5
2006-06-09,,3.7,17.9,14.6,21.2,6.6
2006-06-10,,11.2,16.9,13.6,20.2,6.6
2006-06-11,,3.2,16.9,14.2,19.6,5.4
2006-06-12,,2.5,19.3,14.6,24,9.4
2006-06-13,,1,,,,
2006-06-14,,4.5,17.5,15.2,19.8,4.6
2006-06-15,,0.5,19.8,15,24.6,9.6
2006-06-16,,0,17.5,14,21,7
2006-06-17,,0,17,13.8,20.2,6.4
2006-06-18,,0,17.7,15,20.4,5.4
2006-06-19,,0,,,,
2006-06-20,,1,19.6,15,24.2,9.2
2006-06-21,,0,21.2,16,26.4,10.4
2006-06-22,,1.8,20,15.8,24.2,8.4
2006-06-23,,0,20.8,15.2,26.4,11.2
2006-06-24,,0,19.5,14,25,11
2006-06-25,,0,18.9,13.6,24.2,10.6
2006-06-26,,0,20.6,16.2,25,8.8
2006-06-27,,0,20.8,15.2,26.4,11.2
2006-06-28,,0,,,,
2006-06-29,,0,,,,
2006-06-30,,0,,,,
2006-07-01,,0,,,,
2006-07-02,,0,,,,
