,Fecha,humedad_relativa
2314,2010-10-16,82.33333333333333
2317,2010-10-17,80.0
2320,2010-10-18,81.66666666666667
2323,2010-10-19,74.33333333333333
2326,2010-10-20,76.33333333333333
2329,2010-10-21,71.0
2332,2010-10-22,87.66666666666667
2335,2010-10-23,86.33333333333333
2338,2010-10-24,87.33333333333333
2341,2010-10-25,83.33333333333333
2344,2010-10-26,82.66666666666667
2347,2010-10-27,90.33333333333333
2350,2010-10-28,83.33333333333333
2353,2010-10-29,81.0
2356,2010-10-30,87.33333333333333
2359,2010-10-31,82.33333333333333
2362,2010-11-01,84.66666666666667
2365,2010-11-02,78.66666666666667
2368,2010-11-03,82.0
2371,2010-11-04,75.66666666666667
2374,2010-11-05,73.66666666666667
2377,2010-11-06,79.33333333333333
2380,2010-11-07,81.66666666666667
2383,2010-11-08,78.33333333333333
2386,2010-11-09,82.33333333333333
2389,2010-11-10,91.0
2392,2010-11-11,86.0
2395,2010-11-12,83.0
2398,2010-11-13,83.33333333333333
2401,2010-11-14,88.66666666666667
2404,2010-11-15,93.0
2407,2010-11-16,85.66666666666667
2410,2010-11-17,87.66666666666667
2413,2010-11-18,81.66666666666667
2416,2010-11-19,69.0
2419,2010-11-20,78.66666666666667
2422,2010-11-21,88.33333333333333
2425,2010-11-22,86.33333333333333
2428,2010-11-23,86.66666666666667
2431,2010-11-24,82.0
2434,2010-11-25,86.0
2437,2010-11-26,88.66666666666667
2440,2010-11-27,83.0
2443,2010-11-28,87.66666666666667
2446,2010-11-29,84.66666666666667
2449,2010-11-30,83.33333333333333
2452,2010-12-01,86.0
2455,2010-12-02,85.0
2458,2010-12-03,86.66666666666667
2461,2010-12-04,85.0
2464,2010-12-05,83.66666666666667
2467,2010-12-06,77.33333333333333
2470,2010-12-07,83.0
2473,2010-12-08,84.66666666666667
2476,2010-12-09,93.0
2479,2010-12-10,80.33333333333333
2482,2010-12-11,85.33333333333333
2485,2010-12-12,86.0
2488,2010-12-13,85.66666666666667
2491,2010-12-14,82.0
2494,2010-12-15,94.0
